account_id,mmr,gpm,xpm,kills,deaths,assists,last_hits,denies,level,recorded_games
86869036,3418,487.22222222222223,591.2222222222222,11.16161616161616,7.404040404040404,14.090909090909092,189.02020202020202,5.303030303030303,23.04040404040404,99
133579465,3806,446.33,568.32,9.64,7.88,13.34,165.74,7.74,21.58,100
101814705,3099,418.44,477.64,7.23,9.47,14.04,138.26,3.5,21.27,100
121891656,3736,446.7070707070707,530.5656565656566,7.393939393939394,7.707070707070707,12.707070707070708,195.02020202020202,7.151515151515151,21.262626262626263,99
26654595,1542,398.03092783505156,490.08247422680415,7.175257731958763,8.123711340206185,14.02061855670103,175.1443298969072,4.010309278350515,21.52577319587629,97
176065675,1643,413.92783505154637,524.7525773195877,10.463917525773196,8.237113402061855,13.597938144329897,152.09278350515464,8.649484536082474,21.917525773195877,97
48589503,3003,336.04,462.51,5.02,7.33,18.47,82.91,6.27,20.29,100
177393895,2368,412.625,505.15,8.5625,8.45,12.3,161.725,5.2125,20.6625,80
179254274,3152,312.2929292929293,417.6666666666667,4.05050505050505,6.1313131313131315,17.09090909090909,54.39393939393939,2.7373737373737375,18.92929292929293,99
33064532,3234,417.969696969697,493.020202020202,7.565656565656566,8.797979797979798,13.95959595959596,158.1818181818182,6.767676767676767,20.242424242424242,99
4297280,3573,442.38,536.3,8.93,7.86,12.86,170.91,14.74,20.8,100
11069337,3646,489.768115942029,502.2028985507246,7.391304347826087,7.492753623188406,14.246376811594203,204.81159420289856,10.289855072463768,21.6231884057971,69
291800352,4718,499.55,535.62,6.98,7.05,12.62,206.32,5.7,21.26,100
335074051,3765,362.7040816326531,425.2244897959184,5.030612244897959,8.73469387755102,17.153061224489797,67.75510204081633,2.642857142857143,19.163265306122447,98
76934061,4640,301.60377358490564,341.811320754717,3.339622641509434,7.509433962264151,15.056603773584905,28.339622641509433,0.7547169811320755,15.50943396226415,53
18200720,4021,397.8265306122449,513.4489795918367,5.938775510204081,6.877551020408164,16.23469387755102,142.79591836734693,11.091836734693878,21.367346938775512,98
89351941,2658,372.85,511.73,6.3,7.14,14.44,111.78,6.2,20.99,100
131954602,4886,439.52,519.17,5.92,5.92,10.33,99.4,4.43,17.89,100
185399939,3423,438.05,545.68,8.39,6.94,12.4,204.19,7.68,22.06,100
81157500,2675,355.44444444444446,457.989898989899,5.3232323232323235,7.494949494949495,13.0,151.75757575757575,4.111111111111111,20.19191919191919,99
1580002,2416,403.88524590163934,513.5409836065573,6.524590163934426,7.688524590163935,11.442622950819672,187.7704918032787,13.049180327868852,21.918032786885245,61
135338990,4419,516.10101010101,608.060606060606,8.717171717171718,7.222222222222222,11.777777777777779,229.4848484848485,11.181818181818182,21.68686868686869,99
362164849,3583,467.43,549.25,7.03,7.09,11.74,215.44,9.91,21.38,100
175612034,3637,369.7,493.79,7.89,10.26,15.05,110.74,2.0,20.68,100
370408256,3720,361.62068965517244,455.0689655172414,6.603448275862069,11.913793103448276,15.60344827586207,89.44827586206897,2.103448275862069,20.086206896551722,58
149349905,4161,550.62,616.92,8.44,5.11,11.02,298.93,15.74,22.33,100
182790100,4515,459.70652173913044,546.8586956521739,9.576086956521738,8.228260869565217,12.597826086956522,190.19565217391303,11.271739130434783,21.565217391304348,92
